Office Name,Office Type,Public Phone Number,Public Phone Extension,Street Address Line 1,Street Address Line 2,City,State,Zip Code,Monday Beginning Hours,Monday Ending Hours,Tuesday Beginning Hours,Tuesday Ending Hours,Wednesday Beginning Hours,Wednesday Ending Hours,Thursday Beginning Hours,Thursday Ending Hours,Friday Beginning Hours,Friday Ending Hours,Saturday Beginning Hours,Saturday Ending Hours,Georeference
JAMESTOWN,COUNTY OFFICE,7166618220,,512 WEST 3RD STREET,,JAMESTOWN,NY,14701,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,4:15 PM,8:30 AM,5:45 PM,8:30 AM,4:15 PM,,,POINT (-79.24796 42.09526)
SARATOGA SPRINGS - WILTON,COUNTY OFFICE,5185847403,,3065 ROUTE 50,WILTON MALL,SARATOGA SPRINGS,NY,12866,9:15 AM,4:45 PM,9:15 AM,4:45 PM,9:15 AM,4:45 PM,9:15 AM,4:45 PM,9:15 AM,4:45 PM,,,POINT (-73.74138 43.10429)
MONROE COUNTY EASTSIDE MOBILE OFFICE,MOBILE OFFICE,5857531604,,545 TITUS AVE,(HEADQUARTERS),ROCHESTER,NY,14617,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,10:00 AM,3:30 PM,,,POINT (-77.60182 43.2106)
ALBANY,DISTRICT OFFICE,5184869786,,855 CENTRAL AVENUE,,ALBANY,NY,12206,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.78884 42.68113)
MARGARETVILLE,COUNTY OFFICE,5184869786,,773 MAIN STREET,,MARGARETVILLE,NY,12455,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-74.64851 42.14837)
ONEIDA COUNTY MOBILE,MOBILE OFFICE,,,321 MAIN STREET,,UTICA,NY,13501,,,,,10:00 AM,2:00 PM,,,,,,,POINT (-75.22365 43.10382)
BATH,COUNTY OFFICE,6076642029,,3 EAST PULTENEY SQ,,BATH,NY,14810,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,POINT (-77.31771 42.333)
PEEKSKILL KIOSK,DISTRICT OFFICE,,,1045 PARK STREET,,PEEKSKILL,NY,10566,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,7:30 AM,5:00 PM,,,POINT (-73.91843 41.29052)
BINGHAMTON,COUNTY OFFICE,6077782337,,81 CHENANGO ST,,BINGHAMTON,NY,13901,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,POINT (-75.9099 42.10118)
GREECE,COUNTY OFFICE,5857531604,,152 GREECE RIDGE CENTER,,ROCHESTER,NY,14626,8:30 AM,4:30 PM,8:30 AM,6:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,8:30 AM,4:30 PM,,,POINT (-77.68748 43.20715)
SIDNEY,COUNTY OFFICE,6075612338,,44 GRAND STREET,,SIDNEY,NY,13838,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-75.39177 42.31383)
WAPPINGERS FALLS,COUNTY OFFICE,8452984620,,"29 MARSHALL RD, SUITE 3B",,WAPPINGERS FALLS,NY,12590,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,POINT (-73.90507 41.59154)
